review	pos
"This is a strange, little, forgotten movie from the late eighties. It's one of those ""Large-cast kitchen sink"" movies that delivers some good gags. If you like the people in this one, give it a shot."	1
This movie is a nice, cute family oriented film. If you don't like violence, this is the movie to watch. Only thing annoying about this movie is the tune (but it's a catchy tune) repeats whenever c.h.o.m.p.s. leaps in to action.	1
It is a nice comedy. It has the great features of the childhood, lying or trying to get away from own generated troubles. The casting is great, great acting. And the special effects ? Well, some stunts are really impressive. Watch it! :)	1
This is so embarrassing. It's a REMAKE of The Wedding Singer, which happens to be my favorite movie which gives me another reason to disapprove of this film. It has the same plot, same jokes, same characters. Jeez, people need to be more original.	0
In this 4th Child's Play film, Chucky gets lucky. It's very funny and there are some enjoyable parts. Very good direction. Not as bad as it could be. The best one in the series since the first. Three stars out of four.	1
Me and a couple of friends went to rent some movies one day, we picked one each and one of us picked Ironheart. Lets just say that from now on, we never let him pick a movie. This movie sucks	0
What a waste of talent. A very poor, semi-coherent, script cripples this film. Rather unimaginative direction, too. Some VERY faint echoes of _Fargo_ here, but it just doesn't come off.	0
This movie turned out to be better than I had expected it to be. Some parts were pretty funny. It was nice to have a movie with a new plot.	1
 eXistenZ is simply David Cronenberg's best movie. All the people compare it to the Matrix. They're not even similar. If you enjoyed Cronenberg's other works just a little bit, you'll love this one...	1
"I was really excited when I read ""The Canterville Ghost"" would be shown on TV. However, I was deeply disappointed. I loved the original story written by Oscar Wilde and sadly nothing of that was transferred by the movie."	0
